Project Number,Due Date,Start Date,Client Due Date,Address 1,Address 2,City,State,ZIP,Info,Status,Field Status,Client Status,Tasks,Assigned To,Coordinator,Client Code,Reference,Description,Src. Project Provider,Src. Project ID,Src. Project Number,Options
TX011218-11,1/19/2018 0:00,,1/19/2018 0:00,"3926 Holland Ave, Unit 104",,Dallas,TX,75219,LB: 8371  | Gate Code: 9988#,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Filemonv,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-22__2,1/19/2018 0:00,,1/19/2018 0:00,5226 Catskills Dr,,Wichita Falls,TX,76310,LB: 9064,Complete,Complete,Fannie Mae,"[{""serviceName"":""Fence Repair - Wood_Chain Link"",""survey"":null,""instructions"":""Per the Fannie Mae QC inspection there is a fence repair that is needed, please refer to the email that was sent for the photo"",""options"":null}]",Clintg,,,Fence Repair - Wood/Chain Link,,,,,
TX011218-22__3,1/19/2018 0:00,,1/19/2018 0:00,5226 Catskills Dr,,Wichita Falls,TX,76310,LB: 9064,Complete,Complete,Fannie Mae,"[{""serviceName"":""Gutter Repair - New Material Installed"",""survey"":null,""instructions"":""Please install a new gutter downspout where it is damaged, also repair as necessary per your gutter allowable. Photo was sent via email for your reference"",""options"":null}]",Clintg,,,Gutter Repair - New Material Installed,,,,,
TX011218-48__1,1/19/2018 0:00,,1/19/2018 0:00,4480 Junction Dr,,Plano,TX,75093,LB: 0422,Complete,Complete,Fannie Mae,"[{""serviceName"":""Trip hazards"",""survey"":null,""instructions"":"""",""options"":null}]",Filemonv,,,Trip Hazards,,,,,
TX011218-51__1,1/19/2018 0:00,,1/19/2018 0:00,321 Winding Shore Dr,,Tool,TX,75143,LB: 3897 | Gate: 2020,Complete,Complete,Fannie Mae,"[{""serviceName"":""Paint where boarded"",""survey"":null,""instructions"":""There is a boarded piece of the exterior on the home, can you please paint to match exterior"",""options"":null}]",Filemonv,,,Paint where boarded,,,,,
TX011218-90,1/19/2018 0:00,,1/19/2018 0:00,3106  Debra Court,,Garland,TX,75044,1705989732,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
TX011218-96,1/19/2018 0:00,,1/19/2018 0:00,4480 Junction Dr,,Plano,TX,75093,1706290422,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
GSS1::1,1/19/2018 1:00,,1/19/2018 1:00,2020 Alma Street,,Keller,Texas,76248,LB: 2457 ,Complete,Complete,GSS,"[{""serviceName"":""Dewinterize"",""survey"":null,""instructions"":null,""options"":null}]",MarkMoeller,,GSS1,Dewinterize,$25.00 ,,1,,
GSS1::2,1/19/2018 1:00,,1/19/2018 1:00,1051 Willowmist Drive,,Prosper,Texas,75078,LB: 1394 - On the back door ,Complete,Complete,GSS,"[{""serviceName"":""Winterize"",""survey"":null,""instructions"":null,""options"":null}]",DianeJackson,,GSS1,Winterize,$25.00 ,,2,,
134135,1/19/2018 23:00,1/5/2018 0:00,1/19/2018 23:00,202 Price Drive,,Lewisville,TX,75067,Lockbox code is 0214,Complete,Complete,Scottfree,"[{""serviceName"":""Initial Clean"",""survey"":"""",""instructions"":""Perform the initial clean on this property that is 3 bedrooms and 2 bathrooms"",""options"":null}]",DianeJackson,,,Initial Clean,$135 ,,,,
OK12090419__2,1/19/2018 23:00,,1/19/2018 23:00,6129 S Zunis Ave,,Tulsa,OK,74136,LB: 9305,Complete,Viewed,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Landscape Package,175,,,,
OK12090419__3,1/19/2018 23:00,,1/19/2018 23:00,6129 S Zunis Ave,,Tulsa,OK,74136,LB: 9305,Complete,Viewed,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",Marcog,,,Roof and Gutter,85,,,,
OK1354091704,1/19/2018 23:00,,1/19/2018 23:00,530 E Pine Pl,,Tulsa,OK,74106,LB: 9114,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Interior"",""survey"":null,""instructions"":"""",""options"":null}]",bradlitke,,,Initial Interior,180,,,,
OK1354091704__1,1/19/2018 23:00,,1/19/2018 23:00,530 E Pine Pl,,Tulsa,OK,74106,LB: 9114,Complete,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":null,""instructions"":"""",""options"":null}]",bradlitke,,,Special Start Up Package,75,,,,
OK1354091704__2,1/19/2018 23:00,,1/19/2018 23:00,530 E Pine Pl,,Tulsa,OK,74106,LB: 9114,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",bradlitke,,,Landscape Package,175,,,,
OK1354091704__3,1/19/2018 23:00,,1/19/2018 23:00,530 E Pine Pl,,Tulsa,OK,74106,LB: 9114,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",bradlitke,,,Roof and Gutter,85,,,,
OK1963092002,1/19/2018 23:00,,1/19/2018 23:00,1000 W Elm St,,Stilwell,OK,74960,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Trashout"",""survey"":""PI10Trashout-v2"",""instructions"":null,""options"":null}]",Michaelz,,,Trash Removal,,,,,
OK375092107,1/19/2018 23:00,,1/19/2018 23:00,1000 W Elm St,,Stilwell,OK,74960,LB: 2479,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Interior"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Initial Interior,180,,,,
OK375092107__1,1/19/2018 23:00,,1/19/2018 23:00,1000 W Elm St,,Stilwell,OK,74960,LB: 2479,Complete,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Special Start Up Package,75,,,,
OK375092107__3,1/19/2018 23:00,,1/19/2018 23:00,1000 W Elm St,,Stilwell,OK,74960,LB: 2479,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Roof and Gutter,85,,,,
OK375092107__4,1/19/2018 23:00,,1/19/2018 23:00,1000 W Elm St,,Stilwell,OK,74960,LB: 2479,Complete,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Package"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Exterior Window Package,75,,,,
OK44142414__2,1/19/2018 23:00,,1/19/2018 23:00,2723 N Old Hwy 81,,Chickasha,OK,73018,,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,(Ongoing Int) Periodic Clean,30,,,,
OK465091514,1/19/2018 23:00,,1/19/2018 23:00,530 E Pine Pl,,Tulsa,OK,74110,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Trashout"",""survey"":""PI10Trashout-v2"",""instructions"":"""",""options"":null}]",bradlitke,,,Trash Removal,"$1,000.00 ",,,,
OK011218-54,1/20/2018 0:00,,1/20/2018 0:00,4113 E WOODROW PL,,TULSA,OK,74115,LB: 0976,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Ext) Periodic Lawn,$40.00 ,,,,
OK011218-55,1/20/2018 0:00,,1/20/2018 0:00,4667 S WINSTON AVE,,TULSA,OK,74135,confirmation,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",marcog,,,(Ongoing Ext) Periodic Lawn,$30.00 ,,,,
OK011218-62,1/20/2018 0:00,,1/20/2018 0:00,11983 HWY 44,,DILL CITY,OK,73641,LB: 4894,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",royherndon,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
OK011218-63__1,1/20/2018 0:00,,1/20/2018 0:00,603 N Washington Ave,,Elk City,OK,73644,LB: 5727,Complete,Complete,Fannie Mae,"[{""serviceName"":""Fence Repair"",""survey"":null,""instructions"":"""",""options"":null}]",royherndon,,,Fence Repair,,,,,
OK011218-87,1/20/2018 0:00,,1/20/2018 0:00,8904 N 140th East Ave,,Owasso,OK,74055,LB: 2083,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Marcog,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-103,1/20/2018 0:00,,1/20/2018 0:00,515 Jennifer Trail,,Grand Prairie,TX,75052,4004893300,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
TX011218-114,1/20/2018 0:00,,1/20/2018 0:00,9813 County Rd 2440,,Royse City,TX,75189,1700827041,Complete,Complete,Fannie Mae,"[{""serviceName"":""FNMA Property Inspection"",""survey"":null,""instructions"":null,""options"":null}]",BattsJJ,,,FNMA Property Inspection,,,,,
TX011218-135,1/20/2018 0:00,,1/20/2018 0:00,109 Lasater Ln,,Bullard,TX,75757,LB: 3090,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",Jenniferh,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011218-161__2,1/20/2018 0:00,,1/20/2018 0:00,516 NW 7th St,,Mineral Wells,TX,76067,LB: 4865,Complete,Complete,Fannie Mae,"[{""serviceName"":""Emergency Repair_Service"",""survey"":"""",""instructions"":""Please install fill dirt where there are holes in the lawns \""trip hazards\"""",""options"":null}]",MarkMoeller,,,Emergency Repair/Service,,,,,
TX011218-184__1,1/20/2018 0:00,,1/20/2018 0:00,717 Ochiltree St,,Daingerfield,TX,75638,LB: 8564,Complete,Complete,Fannie Mae,"[{""serviceName"":""Storm Door Removal _ Trip Fee"",""survey"":null,""instructions"":"""",""options"":null}]",TeddyBrabham,,,Storm Door Removal + Trip Fee,100,,,,
OK03105605__1,1/20/2018 23:00,,1/20/2018 23:00,14201 Pleasant Ridge Road,,Jones,OK,73049,LB: 8649,Complete,Complete,Fannie mae,"[{""serviceName"":""trip fee"",""survey"":"""",""instructions"":"""",""options"":null}]",AlphonsoQ,,,trip fee,75,,,,
OK032120515,1/20/2018 23:00,,1/20/2018 23:00,203 Oak Street,,Borger,TX,79007,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Trashout"",""survey"":""PI10Trashout-v2"",""instructions"":null,""options"":null}]",rickieortiz,,,Trash Removal,,,,,
OK032165006,1/20/2018 23:00,,1/20/2018 23:00,35291 E 123.5,,Seminole,OK,74868,,Complete,Viewed,Fannie Mae,"[{""serviceName"":""Initial Trashout"",""survey"":""PI10Trashout-v2"",""instructions"":null,""options"":null}]",robertnelson,,,Trash Removal,,,,,
OK032165658,1/20/2018 23:00,,1/20/2018 23:00,35291 E 123.5,,Seminole,OK,74868,LB: 9925,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Interior"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Initial Interior,180,,,,
OK032165658__1,1/20/2018 23:00,,1/20/2018 23:00,35291 E 123.5,,Seminole,OK,74868,LB: 9925,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Exterior"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Initial Exterior,100,,,,
OK032165658__2,1/20/2018 23:00,,1/20/2018 23:00,35291 E 123.5,,Seminole,OK,74868,LB: 9925,Complete,Viewed,Fannie Mae,"[{""serviceName"":""Initial Winterization"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Initial Winterization,100,,,,
OK032165658__3,1/20/2018 23:00,,1/20/2018 23:00,35291 E 123.5,,Seminole,OK,74868,LB: 9925,Complete,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Special Start Up Package,75,,,,
OK032165658__4,1/20/2018 23:00,,1/20/2018 23:00,35291 E 123.5,,Seminole,OK,74868,LB: 9925,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Landscape Package,175,,,,
OK032165658__5,1/20/2018 23:00,,1/20/2018 23:00,35291 E 123.5,,Seminole,OK,74868,LB: 9925,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Roof and Gutter,85,,,,
OK032165658__6,1/20/2018 23:00,,1/20/2018 23:00,35291 E 123.5,,Seminole,OK,74868,LB: 9925,Complete,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Package"",""survey"":null,""instructions"":"""",""options"":null}]",robertnelson,,,Exterior Window Package,75,,,,
OK103124241__2,1/20/2018 23:00,,1/20/2018 23:00,628 Stephany Drive,,Piedmont,OK,73078,LB: 1254,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Landscape Package,175,,,,
OK103124241__3,1/20/2018 23:00,,1/20/2018 23:00,628 Stephany Drive,,Piedmont,OK,73078,LB: 1254,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",Clintg,,,Roof and Gutter,85,,,,
OK456161620__1__1,1/20/2018 23:00,,1/20/2018 23:00,11931 E 2nd,,Tulsa,OK,74128,LB: 9251,Complete,Complete,Fannie Mae,"[{""serviceName"":""Debris removal"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Debris removal,,,,,
OK456161620__2,1/20/2018 23:00,,1/20/2018 23:00,11931 E 2nd,,Tulsa,OK,74128,LB: 9251,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Landscape Package,175,,,,
OK456161620__3,1/20/2018 23:00,,1/20/2018 23:00,11931 E 2nd,,Tulsa,OK,74128,LB: 9251,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Roof and Gutter,85,,,,
OK632120602,1/20/2018 23:00,,1/20/2018 23:00,203 Oak Street,,Borger,TX,79007,LB: 4010,Complete,Complete,Fannie Maee,"[{""serviceName"":""Initial Exterior"",""survey"":null,""instructions"":"""",""options"":null}]",rickieortiz,,,Initial Exterior,100,,,,
OK632120602__2,1/20/2018 23:00,,1/20/2018 23:00,203 Oak Street,,Borger,TX,79007,LB: 4010,Complete,Complete,Fannie Maee,"[{""serviceName"":""Special Start Up"",""survey"":null,""instructions"":"""",""options"":null}]",rickieortiz,,,Special Start Up,75,,,,
OK632120602__3,1/20/2018 23:00,,1/20/2018 23:00,203 Oak Street,,Borger,TX,79007,LB: 4010,Complete,Complete,Fannie Maee,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",rickieortiz,,,Landscape Package,175,,,,
OK632120602__4,1/20/2018 23:00,,1/20/2018 23:00,203 Oak Street,,Borger,TX,79007,LB: 4010,Complete,Complete,Fannie Maee,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",rickieortiz,,,Roof and Gutter,85,,,,
OK632120602__6,1/20/2018 23:00,,1/20/2018 23:00,203 Oak Street,,Borger,TX,79007,LB: 4010,Complete,Complete,Fannie Maee,"[{""serviceName"":""Initial Interior"",""survey"":null,""instructions"":"""",""options"":null}]",rickieortiz,,,Initial Interior,180,,,,
ok943134752,1/20/2018 23:00,,1/20/2018 23:00,4667 S Winston Ave,,Tulsa,OK,74135,LB: 6312,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Exterior"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Initial Exterior,100,,,,
ok943134752__4,1/20/2018 23:00,,1/20/2018 23:00,4667 S Winston Ave,,Tulsa,OK,74135,LB: 6312,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Landscape Package,175,,,,
ok943134752__5,1/20/2018 23:00,,1/20/2018 23:00,4667 S Winston Ave,,Tulsa,OK,74135,LB: 6312,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",Michaelz,,,Roof and Gutter,85,,,,
OK984124040,1/20/2018 23:00,,1/20/2018 23:00,628 Stephany Drive,,Piedmont,OK,73078,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Trashout"",""survey"":""PI10Trashout-v2"",""instructions"":null,""options"":null}]",Clintg,,,Trash Removal,,,,,
TX032161250__4,1/20/2018 23:00,,1/20/2018 23:00,905 Carolina St,,Graham,TX,76450,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":null,""instructions"":"""",""options"":null}]",AmberChairez,,,Landscape Package,175,,,,
TX032161250__5,1/20/2018 23:00,,1/20/2018 23:00,905 Carolina St,,Graham,TX,76450,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":null,""instructions"":"""",""options"":null}]",AmberChairez,,,Roof and Gutter,85,,,,
TX4161722,1/20/2018 23:00,,1/20/2018 23:00,905 Carolina St,,Graham,TX,76450,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Trashout"",""survey"":""PI10Trashout-v2"",""instructions"":null,""options"":null}]",AmberChairez,,,Trash Removal,,,,,
OK011918-89,1/21/2018 0:00,,1/21/2018 0:00,510 13TH N,,HARTSHORNE,OK,74547,LB: 7965,Complete,,Fannie Mae,"[{""serviceName"":""_Ongoing Int_ Periodic Clean"",""survey"":null,""instructions"":null,""options"":null}]",jameshale,,,(Ongoing Int) Periodic Clean,$30.00 ,,,,
TX011918-14,1/21/2018 0:00,,1/21/2018 0:00,2313 Grant Street,,Wichita Falls,TX,76309,LB: 6261,Complete,Complete,Fannie Mae,"[{""serviceName"":""_Ongoing Ext_ Periodic Lawn"",""survey"":null,""instructions"":null,""options"":null}]",Clintg,,,(Ongoing Ext) Periodic Lawn,$42.00 ,,,,
TX13142240,1/21/2018 0:00,,1/21/2018 0:00,8613 Sunwood Ct,,Forth Worth,TX,76123,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Exterior"",""survey"":"""",""instructions"":"""",""options"":null}]",Lorenlowe,,,Initial Exterior,180,,,,
TX13142240__1,1/21/2018 0:00,,1/21/2018 0:00,8613 Sunwood Ct,,Forth Worth,TX,76123,LB: 1782,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Interior"",""survey"":"""",""instructions"":"""",""options"":null}]",Lorenlowe,,,Initial Interior,180,,,,
TX13142240__2,1/21/2018 0:00,,1/21/2018 0:00,8613 Sunwood Ct,,Forth Worth,TX,76123,LB: 1782,Complete,Complete,Fannie Mae,"[{""serviceName"":""Initial Winterization"",""survey"":"""",""instructions"":"""",""options"":null}]",Lorenlowe,,,Initial Winterization,100,,,,
TX13142240__3,1/21/2018 0:00,,1/21/2018 0:00,8613 Sunwood Ct,,Forth Worth,TX,76123,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Special Start Up Package"",""survey"":"""",""instructions"":"""",""options"":null}]",Lorenlowe,,,Special Start Up Package,75,,,,
TX13142240__4,1/21/2018 0:00,,1/21/2018 0:00,8613 Sunwood Ct,,Forth Worth,TX,76123,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Landscape Package"",""survey"":"""",""instructions"":"""",""options"":null}]",Lorenlowe,,,Landscape Package,175,,,,
TX13142240__5,1/21/2018 0:00,,1/21/2018 0:00,8613 Sunwood Ct,,Forth Worth,TX,76123,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Roof and Gutter"",""survey"":"""",""instructions"":"""",""options"":null}]",Lorenlowe,,,Roof and Gutter,85,,,,
TX13142240__5__1,1/21/2018 0:00,,1/21/2018 0:00,8613 Sunwood Ct,,Forth Worth,TX,76123,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Plumbing Repair"",""survey"":"""",""instructions"":"""",""options"":null}]",Lorenlowe,,,Plumbing Repair,175,,,,
TX13142240__6,1/21/2018 0:00,,1/21/2018 0:00,8613 Sunwood Ct,,Forth Worth,TX,76123,,Complete,Complete,Fannie Mae,"[{""serviceName"":""Exterior Window Package"",""survey"":"""",""instructions"":"""",""options"":null}]",Lorenlowe,,,Exterior Window Package,75,,,,
